id,loss
4,1627.2339
6,1670.1888
9,6958.507
12,6297.514
15,980.36096
17,1912.972
21,2013.8921
28,1087.0353
32,2377.2373
43,2770.0845
46,2894.6956
50,1184.3561
54,1471.5764
62,2134.2107
70,1880.7017
71,5740.998
75,1890.2412
77,2839.2913
81,1881.8557
83,2176.6733
87,1725.8038
97,1752.4071
103,1297.9651
119,1208.3771
120,1508.7754
127,1084.362
138,4283.287
141,2072.9622
148,1029.2595
150,2337.808
151,2109.7686
158,1516.5016
160,6053.289
165,2297.5203
168,3186.9612
169,3376.5322
177,2848.7788
178,3079.3496
184,1873.724
194,7579.8677
198,1655.6681
203,3215.8574
211,2315.0637
217,1234.6761
219,1219.4932
221,4335.9067
227,1865.5093
230,1258.9803
235,1806.5847
240,995.2926
243,2362.031
249,5116.7046
253,2493.4216
258,1149.4567
261,1353.5388
263,3183.9734
264,2495.3325
265,3854.7327
268,1916.0433
271,1157.2911
274,4985.066
275,963.29675
279,1532.7078
282,1359.5731
286,2558.626
288,1225.139
294,2269.2415
296,1071.0923
297,1550.6782
300,965.6738
303,7140.902
314,1172.1605
315,3550.2942
321,2393.678
323,3557.2654
330,3407.3328
341,1712.2065
342,4102.805
352,1917.8857
353,3326.3452
360,5237.259
361,2081.0618
362,3057.6025
366,1281.3304
372,3058.1416
376,2474.3733
377,2017.9811
379,1538.3258
380,3211.1523
387,1767.6162
392,1694.1156
394,8401.658
395,1621.7953
397,1594.3483
407,4317.3354
411,6289.686
416,2498.2483
417,1490.982
419,4108.9766
428,4366.2007
431,1825.0612
436,5777.287
438,1474.4963
445,5142.737
446,6088.6597
455,1541.6384
456,1274.0765
461,1099.0083
463,1701.2527
464,3070.1997
466,1647.0476
467,1296.5918
470,1323.0583
475,1439.3323
482,2860.7297
490,3044.9595
496,1680.3362
497,3962.1963
508,2462.331
510,1853.7173
512,2180.4253
513,2878.0095
523,1832.6127
531,5168.221
532,2308.4702
533,1468.0791
537,1207.5886
544,4566.643
547,2398.4983
556,6340.794
565,1557.1156
566,1349.4501
571,1588.113
573,1524.9452
574,1014.19727
581,1968.5514
585,1851.2825
589,1609.0156
597,1650.4194
601,2558.495
602,1805.4459
613,1539.8728
616,1447.8212
619,2067.046
622,1846.967
623,1934.0289
629,1688.4506
634,1351.1931
638,1105.1821
642,1199.6085
643,1994.8641
645,1092.0995
648,6739.047
652,1637.1254
664,1057.5244
666,2032.4384
672,1139.7032
676,2254.6147
678,4097.539
682,2007.0424
686,2848.9531
688,2155.7747
689,1252.5868
690,1779.9884
692,8298.632
695,1424.5627
697,4523.505
698,1773.6509
706,2404.6262
708,1605.3203
712,2611.1257
715,3219.4902
717,1598.9305
725,2860.58
729,1083.096
737,1312.7587
739,5026.7188
747,3200.6528
753,2282.4895
758,2413.8276
759,1882.9923
763,1172.8063
773,3481.7397
774,1889.592
776,1614.6974
788,2323.9863
790,2953.12
794,1337.1923
801,2132.9216
802,1686.3076
805,1616.4476
809,4652.814
812,1489.6508
825,1889.9135
828,1775.6864
830,1792.9364
833,1142.7849
850,3978.91
852,5667.087
862,1348.6814
863,1530.5488
864,1502.9321
865,2903.7742
868,5274.2246
872,1809.075
879,4865.1704
880,1528.9529
883,1293.7733
886,1472.9525
923,1552.1455
924,1296.1704
932,1336.8823
945,6189.4907
947,5209.9395
948,2036.4531
955,2183.7874
963,3541.6248
979,1339.0275
989,1512.6852
994,2711.473
995,1679.233
998,1276.9062
1000,3671.1768
1018,1646.4429
1019,2081.7742
1028,1978.8563
1034,1433.9987
1038,1551.0961
1040,1714.7449
1042,1300.4873
1057,5980.82
1058,2158.9043
1063,1126.7999
1066,4168.6875
1071,3371.946
1073,3262.6677
1074,2405.3828
1077,2186.947
1080,8352.339
1088,1034.3307
1096,989.41956
1097,8153.525
1105,3886.9922
1115,1749.4598
1116,2444.5586
1122,2447.9268
1130,3022.7456
1133,1045.5945
1137,1752.1106
1140,1810.006
1143,7140.327
1149,4645.5806
1150,1014.46204
1153,1078.8677
1157,1114.6665
1180,942.40564
1183,1231.618
1188,1587.2383
1193,1155.1038
1200,984.62573
1209,3021.9028
1214,1936.2156
1219,2268.7178
1223,5949.153
1227,1063.9319
1228,1447.0046
1229,3291.9695
1233,1123.4653
1238,4408.293
1239,1887.766
1241,3129.294
1243,1796.4215
1244,1258.649
1245,2940.4194
1277,3544.3699
1279,3284.754
1292,8474.738
1293,1303.0787
1299,7313.9497
1304,2292.0452
1313,3189.9175
1328,2058.5378
1330,1328.765
1334,1312.4398
1335,1462.2
1336,5211.312
1341,1159.141
1344,1330.4376
1351,1240.0165
1352,1888.6606
1354,1691.8286
1368,3460.9414
1373,1718.2365
1375,985.50256
1381,1744.9504
1384,3557.1177
1385,3498.3235
1388,4231.591
1401,4001.0886
1402,2645.8625
1404,1486.4479
1406,1492.2295
1409,1186.8569
1422,1641.159
1429,2909.2356
1433,4606.893
1438,1123.5502
1444,1318.2648
1446,1237.0088
1450,1225.7057
1451,1026.9023
1454,1606.4451
1458,2111.5332
1461,2771.9385
1464,4968.831
1465,1285.925
1478,1581.0889
1479,1594.383
1480,2530.5525
1484,2000.6838
1486,1099.1707
1488,1005.032
1489,3094.8809
1491,1106.2014
1507,1940.9987
1515,1442.3293
1519,2378.7966
1528,1349.9154
1529,1114.9576
1530,2614.0645
1532,1302.456
1541,1555.2677
1542,2761.1023
1547,1256.2211
1549,1319.7361
1553,2335.0757
1554,2749.7754
1555,1287.1554
1559,1507.9753
1565,1779.8486
1568,1325.274
1576,3626.6406
1579,1192.3823
1592,1159.3984
1596,2905.3916
1605,1053.7776
1607,1450.7069
1612,1762.8862
1617,2935.0164
1619,2345.6587
1620,6227.8857
1624,2556.4575
1627,1293.4001
1633,1875.4115
1636,1512.1204
1639,1307.679
1640,2938.5615
1644,1249.588
1646,1795.2554
1647,2177.4292
1654,1459.1776
1655,2612.0212
1664,5175.3096
1665,2093.8757
1667,4834.019
1669,1209.392
1678,1799.786
1682,2523.0945
1689,1173.428
1690,2583.1375
1693,4737.72
1695,1023.2478
1705,1650.0659
1706,2632.0386
1708,2439.3545
1716,2190.8936
1720,7757.4243
1722,1617.5944
1749,3751.5613
1750,1466.1089
1751,4213.859
1760,2104.0425
1763,3195.3762
1770,1725.1674
1777,1792.087
1785,5373.344
1791,1090.5481
1794,3440.0237
1800,1315.8678
1816,1432.7103
1817,1193.227
1821,2216.9924
1836,1459.4498
1838,1606.2599
1851,1685.471
1852,2722.8135
1854,2490.9902
1856,1037.9489
1865,960.6627
1872,1183.0712
1878,1051.3512
1880,1303.5074
1881,1244.5901
1882,1779.317
1886,1042.9926
1892,1665.9587
1894,2033.6224
1898,2085.8518
1899,2714.588
1902,1533.0035
1903,3852.2996
1906,1614.3431
1910,2051.3574
1911,1842.1395
1914,2613.7656
1929,2966.4985
1932,1442.4883
1952,1084.5364
1959,1327.2347
1960,1825.825
1976,2297.4736
1980,2488.6853
1981,1869.3372
1987,1746.4851
1994,1457.9202
2000,1195.3158
2008,1860.2339
2011,1988.7373
2012,3991.601
2019,1683.0555
2022,3112.497
2024,5570.28
2028,1068.087
2030,3268.8857
2031,6895.255
2047,1745.0048
2049,984.17944
2050,1551.8568
2051,3686.3704
2056,1682.0497
2057,1343.7953
2059,2239.8452
2069,3199.1978
2085,1624.7056
2089,1114.4581
2090,1652.203
2101,2420.3467
2114,2041.1993
2115,1331.4769
2118,1382.1976
2119,2057.9832
2125,1574.789
2128,2637.0122
2129,1374.96
2132,1798.18
2133,2549.8018
2135,976.0742
2136,1705.2013
2143,1194.8174
2144,1229.9202
2145,2941.4126
2152,1883.2012
2160,2850.5068
2166,1438.2883
2169,1288.4283
2170,1684.487
2172,1680.8506
2181,1560.0756
2183,1654.1482
2185,2259.0076
2188,2163.145
2189,2129.482
2194,3767.6963
2202,1256.2357
2208,2350.245
2227,1809.569
2230,4916.536
2235,2060.2422
2236,1836.2274
2244,5959.755
2248,1516.3344
2252,1480.6945
2254,1603.4963
2260,5035.386
2263,1881.2571
2274,1772.4114
2277,1105.82
2279,5265.661
2280,8670.824
2283,2790.5715
2284,1004.70435
2288,3071.7864
2292,1510.275
2295,4392.238
2296,1276.6805
2299,2035.5747
2315,3879.8408
2318,1641.8433
2329,7975.8496
2337,1266.2887
2340,1052.4384
2342,1655.5425
2347,2127.766
2349,4197.8774
2354,1356.9373
2361,2487.4202
2370,1625.9431
2378,2561.6582
2382,3838.389
2387,1781.4805
2389,1869.0386
2394,1508.2573
2396,1872.637
2400,2172.047
2407,2094.108
2414,1234.2156
2415,1916.0889
2421,2133.3713
2427,1728.5825
2428,2568.9148
2430,2603.9702
2435,2174.7698
2445,3713.5974
2446,1489.8966
2447,1300.875
2449,1878.1536
2451,1888.6229
2458,10577.913
2462,7107.675
2463,2525.022
2467,2523.617
2471,5995.096
2475,2109.5676
2478,2503.0269
2483,3572.8557
2485,1316.9448
2487,1173.2062
2494,949.5084
2497,1748.3718
2499,1567.131
2503,1572.4102
2513,3029.38
